danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.773,0.859,-4.913,0.0747,0.0855,0.00018,0.914,0.813,118.458,pop
0.773,0.859,-4.913,0.0747,0.0855,0.00018,0.914,0.813,118.458,soul
0.933,0.664,-11.281,0.311,0.00471,0.0,0.0908,0.616,128.467,electro
0.7,0.695,-4.973,0.0897,0.00629,0.0,0.0319,0.633,122.028,pop
0.529,0.127,-16.066,0.0274,0.611,0.000109,0.237,0.578,63.05,singer-songwriter
0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,pop
0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,electro
0.616,0.869,-3.911,0.0327,0.0283,0.0,0.064,0.473,127.966,pop
0.671,0.939,-3.206,0.161,0.191,0.0,0.298,0.53,129.024,latin
0.671,0.939,-3.206,0.161,0.191,0.0,0.298,0.53,129.024,pop
0.734,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,pop
0.366,0.269,-8.456,0.0287,0.829,1.67e-05,0.108,0.492,86.577,pop
0.747,0.716,-2.457,0.075,0.135,0.0,0.251,0.751,125.008,pop
0.168,0.326,-9.981,0.0324,0.721,0.0006,0.316,0.322,174.794,soul
0.814,0.672,-12.068,0.0619,0.0435,0.0,0.061,0.933,109.394,disco
0.759,0.818,-6.011,0.216,0.0467,0.000158,0.103,0.535,171.708,pop
0.759,0.818,-6.011,0.216,0.0467,0.000158,0.103,0.535,171.708,soul
0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,pop
0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,soul
0.621,0.616,-7.211,0.15,0.0765,0.0,0.131,0.512,122.93,reggae
0.568,0.631,-5.623,0.0273,0.033,0.0,0.144,0.23,105.096,pop
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,pop
0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,pop
0.623,0.417,-8.699,0.0354,0.296,0.0,0.135,0.721,130.032,pop
0.67,0.905,-2.385,0.0339,0.0625,0.000151,0.0577,0.516,100.021,pop
0.67,0.905,-2.385,0.0339,0.0625,0.000151,0.0577,0.516,100.021,rock
0.659,0.884,-5.56,0.0341,0.188,0.0,0.0756,0.934,144.868,pop
0.426,0.584,-5.293,0.296,0.0383,0.0,0.192,0.272,193.438,pop
0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96,pop
0.613,0.622,-5.794,0.0334,0.00882,0.0,0.37,0.484,80.003,pop
0.573,0.662,-4.461,0.0265,0.209,3.92e-05,0.323,0.256,140.046,country
0.541,0.895,-4.884,0.0367,0.0163,0.0,0.571,0.657,102.078,country
